14,6,4,0,0,2,0.0,126.00030561599999,38,2
11,5,3,0,1,0,26.02,134.968361292,30,2
15,6,4,1,0,0,20.23,151.983677008,38,2
21,7,6,1,0,0,20.23,108.124594108,44,1
20,7,5,1,0,0,9.23,120.070401666,44,2
8,6,2,0,0,0,0.0,102.009262944,38,4
14,5,4,0,0,1,0.0,94.05183145999999,32,1
18,7,5,1,0,0,20.23,213.985462972,44,2
25,8,8,0,0,0,0.0,113.13247696408999,48,0
18,7,4,2,1,0,52.489999999999995,105.078978592,44,3
21,7,5,0,0,0,0.0,136.057073708,44,2
13,7,2,5,0,0,68.15,110.021523292,44,5
17,6,5,0,0,0,0.0,102.059836982,36,1
15,7,4,1,0,2,9.23,141.995220236,44,3
9,5,4,0,0,0,0.0,86.01592461999999,26,1
14,5,4,0,0,1,0.0,92.039277968,32,1
9,5,2,1,1,0,43.09,136.947625848,30,3
5,4,1,0,0,0,0.0,108.92458661191,24,3
12,6,3,0,0,0,0.0,231.855695392,38,3
23,8,6,0,1,0,26.02,133.09252048,50,2
18,6,5,1,0,0,20.23,88.088815004,38,1
20,7,5,1,1,0,35.25,103.099714036,44,2
12,5,3,0,0,0,0.0,296.8642698039102,34,2
25,8,8,0,0,0,0.0,113.13302554399999,49,0
19,7,5,0,1,0,3.24,165.015311484,44,2
14,6,3,2,0,0,29.46,108.024500496,38,3
16,6,4,0,1,1,12.03,107.05017699999999,38,2
13,5,3,0,0,0,0.0,106.010123516,30,2
9,4,2,1,0,1,9.23,80.00289246,26,2
7,5,1,0,0,0,0.0,115.956598504,32,4
9,4,2,0,0,0,0.0,91.98495779,24,2
12,5,2,1,1,0,35.25,187.95778542391,34,3
21,7,5,0,2,0,52.04,102.11569844799999,44,2
6,5,1,0,0,1,0.0,117.945555152,32,4
14,6,3,2,0,0,40.46,108.024500496,38,3
12,5,4,0,0,1,0.0,90.023627904,30,1
18,6,4,0,1,0,12.03,201.001447384,40,2
5,4,1,0,0,0,0.0,203.856440032,24,3
19,6,5,0,1,0,26.02,88.11107616199999,38,1
11,6,3,0,0,0,0.0,98.03433482,38,3
15,5,3,0,0,0,0.0,108.02577357999999,32,2
20,7,5,1,1,0,21.259999999999998,103.099714036,44,2
9,4,1,0,1,0,26.02,94.98634116,26,3
8,5,1,3,0,0,27.69,141.926556056,32,4
12,5,3,0,0,0,0.0,153.945183324,32,2
10,4,2,0,0,0,0.0,91.994473452,24,2
20,7,6,0,0,0,0.0,104.100128636,44,1
21,7,5,0,1,0,12.03,119.08638607799999,44,2
13,5,1,0,3,0,64.07,93.04558388599999,32,4
20,7,5,1,1,0,46.25,103.099714036,44,2
17,7,4,0,1,1,26.02,139.022248,44,3
9,5,2,0,0,0,0.0,123.947513128,30,3
16,6,4,0,1,1,12.03,107.05017699999999,38,2
14,6,4,1,0,0,20.23,104.029585876,36,2
16,7,3,1,1,0,21.259999999999998,125.040578758,44,4
18,6,5,1,0,0,20.23,91.107645242,38,1
10,4,2,0,0,0,0.0,190.93968581399997,26,2
15,5,4,1,0,0,20.23,81.117102162,32,1
10,5,3,1,0,0,9.23,183.93851278,30,2
9,5,2,1,0,0,20.23,141.942955068,32,3
10,5,1,0,1,2,26.02,132.95197552,34,4
14,6,4,2,0,0,40.46,88.052429496,36,2
20,7,4,0,3,0,41.29,103.11094741599999,44,3
9,6,1,2,0,0,18.46,237.861919336,38,5
8,4,1,1,0,0,17.07,93.973738008,24,3
13,6,3,0,1,0,3.24,95.054655664,38,3
